startTS,endTS,startTime,endTime,lat,long,confidence
1583144070000,1583174066000,2020-03-02 11:14:30,2020-03-02 19:34:26,37.5259527,15.0738812,100
1583218800000,1583233200000,2020-03-03 08:00:00,2020-03-03 12:00:00,37.525656,15.073506,100
